1699	[ 0, 4, 8, 12, 16, 24 ]
1958	[ 0, 2, 8, 16, 24 ]
1961	[ 0, 2, 4, 8, 16, 24 ]
1969	[ 0, 6, 8, 16, 24 ]
1970	[ 0, 6, 8, 16, 24 ]
1977	[ 0, 6, 8, 16, 24 ]
2012	[ 0, 4, 8, 16, 24 ]
2024	[ 0, 4, 8, 16, 24 ]
2025	[ 0, 8, 16, 24 ]
2030	[ 0, 4, 8, 16, 24 ]
2050	[ 0, 8, 16, 24 ]
2080	[ 0, 4, 8, 16, 24 ]
3394	[ 0, 4, 8, 12, 16, 24 ]
3399	[ 0, 4, 8, 12, 16, 24 ]
3405	[ 0, 8, 12, 16, 24 ]
3412	[ 0, 8, 12, 16, 24 ]
3415	[ 0, 4, 8, 12, 16, 24 ]
3425	[ 0, 2, 4, 8, 12, 16, 24 ]
3428	[ 0, 4, 8, 12, 16, 24 ]
3429	[ 0, 4, 8, 12, 16, 24 ]
3494	[ 0, 4, 8, 12, 16, 24 ]
3496	[ 0, 4, 8, 12, 16, 24 ]
3528	[ 0, 4, 8, 12, 16, 24 ]
3548	[ 0, 4, 8, 12, 16, 24 ]
3557	[ 0, 4, 8, 12, 16, 24 ]
3579	[ 0, 4, 8, 12, 16, 24 ]
3580	[ 0, 8, 12, 16, 24 ]
3589	[ 0, 4, 8, 12, 16, 24 ]
3603	[ 0, 4, 8, 12, 16, 24 ]
3632	[ 0, 4, 8, 12, 16, 24 ]
3645	[ 0, 4, 8, 12, 16, 24 ]
3669	[ 0, 4, 8, 12, 16, 24 ]
3681	[ 0, 4, 8, 12, 16, 24 ]
3682	[ 0, 8, 12, 16, 24 ]
3690	[ 0, 4, 8, 12, 16, 24 ]
3696	[ 0, 4, 8, 12, 16, 24 ]
3698	[ 0, 4, 8, 12, 16, 24 ]
3717	[ 0, 4, 8, 12, 16, 24 ]
3735	[ 0, 4, 8, 12, 16, 24 ]
3750	[ 0, 4, 8, 12, 16, 24 ]
3753	[ 0, 4, 8, 12, 16, 24 ]
3756	[ 0, 4, 8, 12, 16, 24 ]
3757	[ 0, 4, 8, 12, 16, 24 ]
3777	[ 0, 4, 8, 12, 16, 24 ]
3781	[ 0, 4, 8, 12, 16, 24 ]
3818	[ 0, 4, 8, 12, 16, 24 ]
3820	[ 0, 4, 8, 12, 16, 24 ]
3844	[ 0, 4, 8, 12, 16, 24 ]
3845	[ 0, 8, 12, 16, 24 ]
3848	[ 0, 4, 8, 12, 16, 24 ]
3861	[ 0, 4, 8, 12, 16, 24 ]
3862	[ 0, 4, 8, 12, 16, 24 ]
3868	[ 0, 4, 8, 12, 16, 24 ]
3878	[ 0, 4, 8, 12, 16, 24 ]
3884	[ 0, 4, 8, 12, 16, 24 ]
3894	[ 0, 4, 8, 12, 16, 24 ]
3911	[ 0, 4, 8, 12, 16, 24 ]
3913	[ 0, 8, 12, 16, 24 ]
3930	[ 0, 4, 8, 12, 16, 24 ]
3939	[ 0, 2, 4, 6, 8, 16, 24 ]
3940	[ 0, 2, 4, 6, 8, 16, 24 ]
3976	[ 0, 4, 8, 16, 24 ]
3979	[ 0, 8, 16, 24 ]
3980	[ 0, 4, 8, 16, 24 ]
3982	[ 0, 4, 8, 16, 24 ]
3990	[ 0, 4, 8, 16, 24 ]
4002	[ 0, 4, 8, 16, 24 ]
4021	[ 0, 4, 8, 16, 24 ]
4028	[ 0, 4, 8, 16, 24 ]
4042	[ 0, 4, 8, 16, 24 ]
4051	[ 0, 4, 8, 16, 24 ]
4062	[ 0, 8, 16, 24 ]
4085	[ 0, 4, 8, 12, 16, 24 ]
4094	[ 0, 4, 8, 12, 16, 24 ]
4102	[ 0, 4, 8, 12, 16, 24 ]
4110	[ 0, 4, 8, 16, 24 ]
4111	[ 0, 4, 8, 16, 24 ]
4121	[ 0, 4, 8, 16, 24 ]
4128	[ 0, 4, 8, 12, 16, 24 ]
4140	[ 0, 4, 8, 12, 16, 24 ]
4145	[ 0, 4, 8, 16, 24 ]
4147	[ 0, 4, 8, 16, 24 ]
4154	[ 0, 4, 8, 16, 24 ]
4159	[ 0, 4, 8, 16, 24 ]
4168	[ 0, 4, 8, 16, 24 ]
4169	[ 0, 4, 8, 16, 24 ]
4171	[ 0, 8, 16, 24 ]
4178	[ 0, 4, 8, 16, 24 ]
4183	[ 0, 4, 8, 16, 24 ]
4195	[ 0, 2, 6, 8, 16, 24 ]
4234	[ 0, 8, 16, 24 ]
4236	[ 0, 8, 16, 24 ]
4242	[ 0, 4, 8, 16, 24 ]
4243	[ 0, 4, 8, 16, 24 ]
4244	[ 0, 8, 16, 24 ]
4245	[ 0, 8, 16, 24 ]
4247	[ 0, 4, 8, 12, 16, 24 ]
4254	[ 0, 4, 8, 16, 24 ]
4255	[ 0, 8, 16, 24 ]
4268	[ 0, 2, 8, 16, 24 ]
4290	[ 0, 4, 8, 16, 24 ]
4327	[ 0, 8, 16, 24 ]
4330	[ 0, 8, 16, 24 ]
4334	[ 0, 4, 8, 16, 24 ]
4363	[ 0, 8, 16, 24 ]
4392	[ 0, 8, 16, 24 ]
4393	[ 0, 4, 8, 12, 16, 24 ]
4394	[ 0, 4, 8, 12, 16, 24 ]
4399	[ 0, 8, 16, 24 ]
4400	[ 0, 4, 8, 12, 16, 24 ]
4427	[ 0, 4, 8, 12, 16, 24 ]
4461	[ 0, 4, 8, 16, 24 ]
4465	[ 0, 4, 8, 16, 24 ]
5020	[ 0, 2, 8, 16, 24 ]
5472	[ 0, 4, 8, 12, 16, 20, 24 ]
5793	[ 0, 2, 4, 8, 16, 24 ]
5799	[ 0, 6, 8, 16, 24 ]
5832	[ 0, 2, 4, 8, 16, 24 ]
5844	[ 0, 4, 8, 12, 16, 24 ]
5845	[ 0, 4, 8, 12, 16, 24 ]
5849	[ 0, 4, 8, 16, 24 ]
5851	[ 0, 4, 8, 16, 24 ]
5852	[ 0, 4, 8, 12, 16, 24 ]
5860	[ 0, 4, 8, 16, 24 ]
5861	[ 0, 4, 8, 12, 16, 24 ]
5869	[ 0, 4, 8, 16, 24 ]
5878	[ 0, 4, 8, 12, 16, 24 ]
5880	[ 0, 4, 8, 16, 24 ]
5890	[ 0, 2, 6, 8, 16, 24 ]
5927	[ 0, 4, 8, 12, 16, 24 ]
5928	[ 0, 4, 8, 12, 16, 24 ]
5930	[ 0, 4, 8, 16, 24 ]
6041	[ 0, 4, 8, 12, 16, 24 ]
6044	[ 0, 2, 4, 8, 12, 16, 24 ]
6046	[ 0, 4, 8, 12, 16, 24 ]
6047	[ 0, 4, 8, 12, 16, 24 ]
